SKU,name,description,final_price,uvas,proveedor,añada,D.O.,tipo_crianza,meses_barrica,tipo_vino
VT-PAGO-DE-LOS-ABUEL-BARRE,Vino Blanco Pago de Los Abuelos Barreiros,"<p><strong>Bodegas Pago de los Abuelos, </strong><span style=""font-weight: 400;"">nos presenta el<strong> Vino Blanco Pago de Los Abuelos Barreiros</strong></span><strong> de la Denominación de Origen Biezo </strong><span style=""font-weight: 400;"">(España</span><strong>)</strong><span style=""font-weight: 400;""> elaborado a partir de varias variedades de</span><strong> uvas Godello.</strong></p>
<p><strong>Pago abuelos </strong>es un magnifico vino  blanco con grianza elaborado por la <strong>Bodegas Pago de los Abuelos, </strong>este blanco con barrica nace de la mano de <strong>Nacho Alvarez Losada, </strong>reconocido como énologo revelacion de la marca.</p>
<p><strong>El vino blanco Pago de Los Abuelos Barreiros </strong>es un vino excepcional que proviene de la región vinícola de España.<strong> El viñedo Pago de Los Abuelos</strong>, ubicado en la prestigiosa denominación de origen, ha sabido cultivar y elaborar este vino con pasión y dedicación, ofreciendo una experiencia única para los amantes del vino blanco<strong>.</strong></p>
<p>La crianza de este vino se realiza en barricas de roble francés, lo cual aporta matices sutiles de vainilla y especias, sin opacar la expresión frutal del vino. La cuidadosa combinación de variedades de uva, que pueden incluir Chardonnay, Sauvignon Blanc o Albariño, permite obtener un vino blanco armonioso y equilibrado en todos sus aspectos.</p>
<p><strong>El Pago de Los Abuelos Barreiros</strong> es un vino versátil que marida muy bien con una variedad de platos. Su frescura y acidez lo hacen perfecto para acompañar mariscos y pescados, ya sean crudos, a la parrilla o en salsas delicadas. También es una excelente opción para combinar con ensaladas frescas, quesos suaves o simplemente disfrutarlo como aperitivo.</p>
<p><strong>En resumen, el vino blanco Pago de Los Abuelos Barreiros</strong> es un vino que combina elegancia, complejidad aromática y una experiencia gustativa equilibrada. Es el compañero perfecto para celebrar momentos especiales o simplemente deleitarse con un vino excepcional que refleja la pasión y el cuidado de los productores de Pago de Los Abuelos.</p>
<p><span style=""font-weight: 400;"">Si tiene alguna duda a la hora de comprar </span><strong>Vino Tinto Tierra Rosso</strong><span style=""font-weight: 400;"">, póngase en contacto con el sumiller de nuestra tienda online y le asesorará sin compromiso.</span></p>",20.0,Godello,Carbonicas Alvarez S.L.,2019,D.O. Bierzo,Roble,8 meses,Vino Blanco
VT-PAGO-DE-LOS-ABUEL-SAT-MEN,Vino Tinto Pago De Los Abuelos Saturno Mencia,"<p><strong>Bodegas Pago de Los Abuelos, </strong><span style=""font-weight: 400;"">nos presenta el <strong>Vino Tinto Pago De Los Abuelos Saturno Mencia</strong></span><strong> de la Denominación de Origen Bierzo </strong><span style=""font-weight: 400;"">(España</span>)<span style=""font-weight: 400;""> elaborado a partir de varias variedades de</span><strong> uvas Mencía.</strong></p>
<p>Procedente de una viña plantada en <strong>1902</strong> sobre suelos calizos en una ladera con una gran inclinación a <strong>550 metros de altitud</strong>, Una auténtica joya vitícola cuyas uvas, tras una vendimia manual, Fermentan en depósitos troncocónicos de roble francés durante 8 meses.</p>
<p><strong>Vino Tinto Pago de los Abuelos Saturno Mencía</strong> es un vino tinto excepcional y cautivador que destaca por su elegancia y carácter distintivo. Producido en España, en la región de El Bierzo, este vino encarna la esencia y la tradición de la viticultura local.</p>
<p><strong>El vino</strong> se elabora principalmente con la variedad de uva mencía, autóctona de la zona, que se cultiva en viñedos de altitud, aprovechando las condiciones únicas del terroir de la región. Las vides se cultivan de forma respetuosa con el medio ambiente y se realiza una vendimia manual selectiva para garantizar la calidad de las uvas utilizadas en la producción del vino.</p>
<p><strong>Este vino</strong> es perfecto para acompañar una amplia variedad de platos. Su versatilidad gastronómica lo hace ideal para maridar con carnes rojas, quesos suaves o platos de caza. Además, puede ser disfrutado tanto en su juventud, para apreciar su frescura y frutosidad, como después de unos años de guarda, para apreciar su evolución y complejidad.</p>
<p><strong>El Vino Tinto Pago de los Abuelos Saturno Mencía</strong> es una joya enológica que representa la riqueza y la excelencia vinícola de El Bierzo. Con su carácter distintivo, elegancia y equilibrio, es una opción perfecta para aquellos amantes del vino que buscan descubrir nuevos horizontes y sabores en cada copa.</p>
<p><span style=""font-weight: 400;"">Si tiene alguna duda a la hora de comprar <strong>Vino Tinto Pago De Los Abuelos Saturno Mencia</strong></span><span style=""font-weight: 400;"">, póngase en contacto con el sumiller de nuestra tienda online y le asesorará sin compromiso.</span></p>",18.15,Mencía,Carbonicas Alvarez S.L.,2021,D.O. Bierzo,Roble,8 meses,Vino Tinto
VT-JUANA-LA-LOCA-CRIANZA,Vino Tinto Juana La Loca Crianza,"<p><strong>Bodegas Bodega 6 Placeres, </strong><span style=""font-weight: 400;"">nos presenta el <strong>Vino Tinto Juana La Loca Crianza</strong></span><strong> de la Denominación de Origen Jumilla </strong><span style=""font-weight: 400;"">(España</span>)<span style=""font-weight: 400;""> elaborado a partir de varias variedades de</span><strong> uvas Syrah.</strong></p>
<p><strong>Vino Tinto Juana La Loca Crianza</strong> es un vino tinto español que ha ganado reconocimiento por su calidad y carácter distintivo. El nombre<strong> ""Juana La Loca""</strong> hace referencia a Juana I de Castilla, una figura histórica conocida por su pasión y locura. <strong>Este vino</strong> encarna esa misma pasión y audacia en cada sorbo.</p>
<p><strong>El Vino Tinto Juana La Loca Crianza es elaborado en la región vinícola de España</strong>, utilizando uvas cuidadosamente seleccionadas de viñedos de alta calidad. Las uvas utilizadas en este vino son principalmente de la variedad Tempranillo, que es una de las uvas tintas más emblemáticas de España. También puede haber una mezcla de otras variedades autóctonas, dependiendo de la añada y del criterio del enólogo.</p>
<p><strong>Este vino</strong> pasa por un proceso de crianza en barricas de roble durante un período mínimo de 12 meses. Durante este tiempo, el vino adquiere una mayor complejidad aromática y estructura, mientras que los taninos se suavizan y se integran perfectamente.</p>
<p><strong>Vino Tinto Juana La Loca Crianza</strong> es un vino versátil que marida bien con una amplia variedad de platos. Va muy bien con carnes rojas asadas o a la parrilla, estofados, caza y quesos curados. También puede ser disfrutado por sí solo, como una experiencia de degustación en la que se pueden apreciar todas sus cualidades.</p>
<p><strong>El Vino Tinto Juana La Loca Crianza</strong> es un vino tinto español de calidad excepcional que combina la pasión y la locura en cada copa. Su crianza en barrica le aporta complejidad y estructura, mientras que en boca despliega una exquisita combinación de sabores frutales y notas especiadas. Sin duda, es una opción a considerar para los amantes del vino que buscan una experiencia única y memorable.</p>
<p><span style=""font-weight: 400;"">Si tiene alguna duda a la hora de comprar <strong>Vino Tinto Juana La Loca Crianza</strong></span><span style=""font-weight: 400;"">, póngase en contacto con el sumiller de nuestra tienda online y le asesorará sin compromiso.</span></p>",14.15,Syrah,Carbonicas Alvarez S.L.,Bodega 6 Placeres,D.O. Jumilla,Crianza,18 meses,Vino Tinto
VT-VE-D-AUB-MERLOT-MAGNUM,Vino Tinto Venta D’Aubert Merlot Magnum BIO,"<p><strong>Vino Tinto Venta D’Aubert Merlot Magnum BIO</strong> se enorgullece de presentar su extraordinario Vino Tinto Merlot, un verdadero tesoro vinícola que encarna la esencia de la excelencia y la sofisticación. Con una variedad de uva 100% Merlot, este vino destaca por su densidad y complejidad, resultado de las selectas cepas de Merlot plantadas en el viñedo más antiguo de la bodega.</p>
<p>Las viñas de Merlot, cultivadas con esmero desde 1987, dan origen a uvas excepcionales, de tamaño reducido, un requisito indispensable para obtener la intensidad y la complejidad características de este Merlot. La cosecha de 2016, marcada por un clima cálido y seco, ha brindado una abundancia y una riqueza excepcionales a este vino.</p>
<p>La recolección manual de las uvas en cajas de 20 kg garantiza la selección de las uvas más maduras y de la más alta calidad. Tras una maceración de dos semanas en cubas de madera, el vino se traslada principalmente a barricas nuevas de roble francés, donde reposará y madurará durante 36 meses. Después de un riguroso proceso de selección, las mejores barricas se han embotellado con una ligera filtración, para ofrecer un vino de excepcional calidad y distinción.</p>
<p>El <strong>Venta d'Aubert Merlot</strong> se presenta con un intenso color rojo oscuro, cautivando a primera vista. En nariz, despliega una amplia gama de aromas que evocan frutos oscuros del bosque, moras, violetas y pimienta negra. En boca, deleita con su sorprendente riqueza e intensidad. Los sabores de cerezas silvestres, amarenas, endrinas y sutiles notas de eucalipto y menta aportan un toque refrescante al vino. Con su estructura tánica actual y una agradable acidez, este Merlot se distingue como un vino elegante y sumamente equilibrado, dejando una sensación persistente en el paladar.</p>
<p>Personalmente, se recomienda maridar este vino con un suculento trozo de carne, como Rib-Eye, T-Bone o Côte de Boeuf, para realzar sus sabores y texturas. Asimismo, se aconseja decantarlo al menos medio día antes de su disfrute, permitiendo que el vino respire y despliegue todo su potencial aromático y gustativo.</p>
<p>El Venta d'Aubert Merlot es un vino excepcional que invita a una experiencia sensorial inigualable. Descubra la elegancia y la fineza en cada sorbo, y déjese llevar por su persistencia y su carácter distintivo. Adquiera una botella de este cautivador Merlot y deleite su paladar con una verdadera obra maestra vinícola.</p>
<p>Si tiene alguna duda a la hora de comprar <strong>Vino Tinto Venta D’Aubert Merlot Magnum BIO</strong><strong>,</strong> póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.</p>",59.0,Merlot,VENTA D'AUBERT SL,2016,V.T. Bajo Aragón,Reserva,36 meses,Vino Tinto
VT-CONDE-VALDEMAR-CRIANZA-MAGN,Vino Tinto Conde Valdemar Crianza Magnum,"<p>El <strong>Vino Tinto Conde Valdemar Crianza Magnum</strong> es una verdadera joya enológica, un vino muy completo que combina su atractivo color y sus aromas afrutados con la delicadeza de su magistral crianza. Es una opción atemporal que invita a disfrutarlo con los cinco sentidos, una apuesta segura por la calidad, la frescura y la sedosidad que se renueva año tras año.</p>
<p>Premios:</p>
<p>• Gold Medal – Mundus Vini Awards 2022 Summer Edition<br />• Gold Medal – Berliner Wein Trophy 2022 Summer Edition<br />• 90 Points – Guía Peñín 2023</p>
<p>Los viñedos propios de <strong>Rioja Alavesa y Rioja Alta</strong> son la base de la calidad excepcional de este vino. Estas zonas privilegiadas brindan las condiciones ideales para el cultivo de las uvas y la obtención de frutos de máxima calidad. La combinación de los microclimas y los suelos característicos de estas regiones confiere al <strong>Vino Tinto Conde Valdemar Crianza</strong> su personalidad única.</p>
<p>La cuidadosa selección de las variedades de uva utilizadas en la elaboración de este vino es fundamental para lograr su carácter distintivo. El<strong> 89% de Tempranillo</strong> aporta la estructura y la elegancia que lo caracterizan, mientras que el <strong>7% de Mazuelo</strong> y el <strong>4% de Graciano</strong> contribuyen con su propia personalidad y notas especiales. Es esta combinación perfecta de variedades lo que hace que el Conde Valdemar Crianza sea un vino equilibrado y complejo.</p>
<p>El envejecimiento es otro de los aspectos destacados de este vino. <strong>Conde Valdemar Crianza pasa 17 meses en barricas de roble americano</strong>, lo que le confiere una sutil complejidad y un elegante toque de especias. Este proceso de crianza es crucial para alcanzar la armonía y la suavidad que caracterizan a este vino excepcional.</p>
<p><strong>Conde Valdemar Crianza</strong> es un vino hecho para disfrutar y compartir. Cada botella encierra la pasión y la dedicación de la familia Valdemar por crear vinos de calidad excepcional. Cada sorbo es una experiencia única que deleitará a los paladares más exigentes y cautivará a los amantes del vino.</p>
<p>Si tienes alguna duda a la hora de adquirir <strong>Vino Tinto Conde Valdemar Crianza Magnum</strong>, te recomendamos que te pongas en contacto con el sumiller de nuestra tienda online. Él estará encantado de asesorarte sin compromiso, brindándote información detallada sobre este vino y ayudándote a tomar la mejor decisión de compra.</p>",18.35,Graciano|Mazuelo|Tempranillo,"BODEGAS VALDEMAR, S.A.U",2019,D.O.C. Rioja,Crianza,17 meses,Vino Tinto
VT-CONDE-VALDEMAR-CRIANZA-5L,Vino Tinto Conde Valdemar Crianza 5L,"<p>El <strong>Vino Tinto Conde Valdemar Crianza 5L</strong> es una verdadera joya enológica, un vino muy completo que combina su atractivo color y sus aromas afrutados con la delicadeza de su magistral crianza. Es una opción atemporal que invita a disfrutarlo con los cinco sentidos, una apuesta segura por la calidad, la frescura y la sedosidad que se renueva año tras año.</p>
<p>Premios:</p>
<p>• Gold Medal – Mundus Vini Awards 2022 Summer Edition<br />• Gold Medal – Berliner Wein Trophy 2022 Summer Edition<br />• 90 Points – Guía Peñín 2023</p>
<p>Los viñedos propios de <strong>Rioja Alavesa y Rioja Alta</strong> son la base de la calidad excepcional de este vino. Estas zonas privilegiadas brindan las condiciones ideales para el cultivo de las uvas y la obtención de frutos de máxima calidad. La combinación de los microclimas y los suelos característicos de estas regiones confiere al <strong>Vino Tinto Conde Valdemar Crianza</strong> su personalidad única.</p>
<p>La cuidadosa selección de las variedades de uva utilizadas en la elaboración de este vino es fundamental para lograr su carácter distintivo. El<strong> 89% de Tempranillo</strong> aporta la estructura y la elegancia que lo caracterizan, mientras que el <strong>7% de Mazuelo</strong> y el <strong>4% de Graciano</strong> contribuyen con su propia personalidad y notas especiales. Es esta combinación perfecta de variedades lo que hace que el Conde Valdemar Crianza sea un vino equilibrado y complejo.</p>
<p>El envejecimiento es otro de los aspectos destacados de este vino. <strong>Conde Valdemar Crianza pasa 17 meses en barricas de roble americano</strong>, lo que le confiere una sutil complejidad y un elegante toque de especias. Este proceso de crianza es crucial para alcanzar la armonía y la suavidad que caracterizan a este vino excepcional.</p>
<p><strong>Conde Valdemar Crianza</strong> es un vino hecho para disfrutar y compartir. Cada botella encierra la pasión y la dedicación de la familia Valdemar por crear vinos de calidad excepcional. Cada sorbo es una experiencia única que deleitará a los paladares más exigentes y cautivará a los amantes del vino.</p>
<p>Si tienes alguna duda a la hora de adquirir <strong>Vino Tinto Conde Valdemar Crianza 5L</strong>, te recomendamos que te pongas en contacto con el sumiller de nuestra tienda online. Él estará encantado de asesorarte sin compromiso, brindándote información detallada sobre este vino y ayudándote a tomar la mejor decisión de compra.</p>",61.75,Graciano|Mazuelo|Tempranillo,"BODEGAS VALDEMAR, S.A.U",2019,D.O.C. Rioja,Crianza,17 meses,Vino Tinto
VT-VALDEMAR-ENTRE-NOSOTROS-CB,Vino Tinto Valdemar Estates Entre Nosotros Cabernet Sauvignon,"<p>El <strong>Vino Tinto Valdemar Estates Entre Nosotros Cabernet Sauvignon</strong> es una auténtica joya vinícola proveniente de la reconocida <strong>Bodega Valdemar</strong>. Esta bodega tiene una rica historia que se remonta a más de 130 años en la región de <strong>La Rioja</strong>, en <strong>España</strong>.</p>
<p>La historia de la <strong>bodega Valdemar</strong> comienza en 1889, cuando<strong> Joaquín Martínez Bujanda </strong>fundó la empresa. Desde sus inicios, la <strong>familia Martínez Bujanda</strong> se dedicó a cultivar sus propias viñas y elaborar vinos que reflejaran la tradición y el carácter de la región de <strong>La Rioja</strong>. A lo largo de las generaciones, <strong>Valdemar </strong>ha combinado sabiamente la tradición vinícola con la innovación, adoptando nuevas técnicas y tecnologías para mejorar la calidad de sus vinos.</p>
<p>El <strong>Vino Tinto Valdemar Estates Entre Nosotros Cabernet Sauvignon</strong> se destaca por su elegancia y sofisticación. Está elaborado principalmente con uvas de la <strong>variedad Cabernet Sauvignon</strong>, una cepa reconocida por su intensidad y estructura. Las uvas utilizadas en este vino provienen de viñedos seleccionados, donde se controla minuciosamente el cultivo para obtener uvas de la más alta calidad.</p>
<p>La elaboración de este vino comienza con una cuidadosa <strong>vendimia manual</strong> de las uvas. Luego, se realiza una selección rigurosa de los racimos, descartando aquellos que no cumplen con los estándares de calidad establecidos por la bodega. A continuación,<strong> las uvas son despalilladas y maceradas en frío </strong>para extraer los compuestos aromáticos y los taninos suaves. Posteriormente, <strong>se realiza la fermentación alcohólica en tanques de acero inoxidable a temperatura controlada</strong>, para preservar los sabores y aromas primarios de la uva.</p>
<p>Tras la fermentación, el vino es sometido a <strong>una crianza en barricas de roble francés y americano durante un periodo de tiempo determinado</strong>. Esta crianza en barrica aporta complejidad y estructura al vino, permitiendo que los sabores se integren y desarrollen de manera armoniosa.</p>
<p><span style=""font-weight: 400;"">Si tiene alguna duda a la hora de comprar <strong>Vino Tinto Valdemar Estates Entre Nosotros Cabernet Sauvignon</strong></span><span style=""font-weight: 400;"">, póngase en contacto con el sumiller de nuestra tienda online y le asesorará sin compromiso.</span></p>",45.4,Cabernet Sauvignon,"BODEGAS VALDEMAR, S.A.U",2019,D.O.C. Rioja,Otros,18 meses,Vino Tinto
VT-BALCON-DE-PILATOS-MATURANA,Vino Tinto Balcón de Pilatos Maturana,"<p>El <strong>Vino Tinto Balcón de Pilatos Maturana</strong> es una joya vinícola que proviene de la <strong>Bodega Valdemar</strong>, una reconocida y prestigiosa bodega ubicada en la <strong>región vinícola de La Rioja</strong>, en <strong>España</strong>.</p>
<p>La historia de la <strong>bodega Valdemar</strong> se remonta al año 1889, cuando fue fundada por <strong>Jesús Martínez Bujanda</strong>. Desde entonces, la <strong>familia Martínez Bujanda</strong> ha estado al frente de la bodega, dedicándose a la elaboración de vinos de alta calidad con una combinación perfecta de tradición y modernidad.</p>
<p>El <strong>Vino Tinto Balcón de Pilatos Maturana</strong> <span style=""color: #333333; font-family: 'Open Sans', 'Helvetica Neue', Helvetica, Arial, sans-serif;"">es una expresión única de la <strong>uva Maturana</strong>, una variedad autóctona de la región de <strong>La Rioja</strong>. La uva <strong>Maturana</strong> ha sido redescubierta y recuperada en los últimos años, y se caracteriza por su potencial enológico y su capacidad para producir vinos elegantes y complejos.</span></p>
<p>La elaboración de este vino comienza en el viñedo, donde las <strong>uvas Maturana son cuidadosamente seleccionadas y recolectadas a mano</strong>. La bodega Valdemar pone un gran énfasis en la calidad de la materia prima, por lo que solo las mejores uvas son utilizadas en la producción de este vino.</p>
<p>Una vez en la bodega, las <strong>uvas son despalilladas y fermentadas en pequeños tanques de acero inoxidable</strong>. Durante la fermentación, se lleva a cabo una <strong>meticulosa extracción de color, aromas y sabores</strong>, para obtener un vino tinto de gran intensidad y complejidad.</p>
<p>Tras la fermentación, el <strong>Vino Tinto Balcón de Pilatos Maturana</strong> pasa por un proceso de <strong>crianza en barricas de roble francés</strong> durante un periodo de tiempo determinado. Esta crianza en barrica permite que el vino adquiera notas de especias, tostado y vainilla, a la vez que se integran y suavizan sus taninos.</p>
<p><span style=""font-weight: 400;"">Si tiene alguna duda a la hora de comprar <strong>Vino Tinto Balcón de Pilatos Maturana</strong></span><span style=""font-weight: 400;"">, póngase en contacto con el sumiller de nuestra tienda online y le asesorará sin compromiso.</span></p>",22.5,Maturana Tinta,"BODEGAS VALDEMAR, S.A.U",2020,D.O.C. Rioja,Otros,11 meses,Vino Tinto
VB-VALDEMAR-FINCA-ALTO-CANTA-M,Vino Blanco Conde Valdemar Finca Alto Cantabria Magnum,"<p>El <strong>V</strong><strong>ino Blanco Conde Valdemar Finca Alto Cantabria</strong> <strong>Magnum </strong>es un destacado producto de la reconocida <strong>Bodega Valdemar</strong>, una de las bodegas más prestigiosas de la región de <strong>La Rioja</strong>, <strong>España</strong>.</p>
<p>Con una historia que se remonta a más de 130 años, <strong>Valdemar</strong> ha sido una referencia en la producción de vinos de alta calidad y se ha ganado una reputación sólida en el mundo vinícola.</p>
<p>La <strong>bodega Valdemar</strong> fue<strong> fundada en 1889</strong> por <strong>Joaquín Martínez Bujanda</strong>, y desde entonces ha sido una empresa familiar que ha pasado de generación en generación. A lo largo de los años, la bodega ha combinado tradición e innovación, utilizando técnicas vitivinícolas avanzadas y respetando al mismo tiempo las prácticas tradicionales que han sido fundamentales para la elaboración de vinos excepcionales.</p>
<p>El <strong>V</strong><strong>ino Blanco Conde Valdemar Finca Alto Cantabria Magnum</strong> se elabora con uvas procedentes de la <strong>finca Alto Cantabria</strong>, ubicada en la región de <strong>La Rioja Alta</strong>. Esta finca cuenta con viñedos de variedades de uva autóctonas como <strong>Viura y Malvasía.</strong> La Viura es una variedad blanca que aporta elegancia y frescura al vino, mientras que la Malvasía añade una nota aromática y complejidad.</p>
<p>La elaboración de este vino blanco comienza con una cuidadosa selección de las uvas en el momento óptimo de madurez. Después de la <strong>vendimia manual</strong>, las uvas se transportan a la bodega donde se realiza una <strong>vinificación meticulosa.</strong> Las uvas <strong>se prensan suavemente </strong>y se realiza una <strong>fermentación en depósitos de acero inoxidable a temperatura controlada</strong>, lo que permite mantener los aromas y sabores frutales del vino.</p>
<p>Una vez terminada la fermentación, el vino pasa por un <strong>período de crianza en barricas de roble francés durante varios meses</strong>. Esta crianza aporta complejidad y estructura al vino, realzando sus características únicas. Finalmente, el vino se embotella y se deja reposar en la bodega antes de salir al mercado.</p>
<p>ONDE VALDEMAR FINCA ALTO CANTABRIA VIÑEDO SINGULAR 2021<br />• 95 Points & White Wine of the Year – Tim Atkin Mw’s Rioja 2022 Special</p>
<p><span style=""font-weight: 400;"">Si tiene alguna duda a la hora de comprar <strong>V</strong><strong>ino Blanco Conde Valdemar Finca Alto Cantabria Magnum</strong></span><span style=""font-weight: 400;"">, póngase en contacto con el sumiller de nuestra tienda online y le asesorará sin compromiso.</span></p>",34.5,Viura,"BODEGAS VALDEMAR, S.A.U",2021,D.O.C. Rioja,Fermentado en Barrica,3 meses,Vino Blanco
VB-CONDE-VALDEMAR-TEMPRA-BLANC,Vino Blanco Conde Valdemar Tempranillo Blanco,"<p>El <strong>Vino Blanco Conde Valdemar Tempranillo Blanco</strong> es una joya vinícola que representa la innovación y la autenticidad de la región de Rioja. Este vino blanco, elaborado con la variedad autóctona <strong>Tempranillo Blanc</strong>o, es una combinación perfecta de pasión y alegría que se ha transformado en una verdadera experiencia enológica.</p>
<p>Las notas tropicales y florales guían el viaje sensorial de este vino genuinamente riojano. Cada sorbo es una sorpresa, revelando nuevos aromas y matices que te transportan a un mundo de sensaciones. Desde el primer momento, el<strong> Vino Blanco Conde Valdemar Tempranillo Blanco</strong> te cautivará con su frescura y su expresividad única.</p>
<p>Este vino es una muestra de que lo nuevo, lo diferente y lo que rompe normas puede convertirse en algo exquisito y extraordinario. La apuesta por la variedad Tempranillo Blanco, poco común en la región de Rioja, demuestra la audacia y la creatividad de los enólogos de Conde Valdemar. El resultado es un vino blanco único y memorable.</p>
<p>El <strong>Vino Blanco Conde Valdemar Tempranillo Blanco</strong> se elabora exclusivamente con uvas procedentes de los viñedos propios de la bodega, ubicados en la prestigiosa región de Rioja Alta, específicamente en Alto Cantabria. La cuidadosa selección de las uvas garantiza la calidad y la excelencia de este vino blanco.</p>
<p>Premios:</p>
<p>• 90 Points – James Suckling (vintage 2022, May 2023)<br />• Gold Medal – Concours Mondial de Bruxelles 2023<br />• 90 Points & highly recommended – Decanter (vintage 2019)</p>
<p>La elaboración de este vino es llevada a cabo con meticulosidad y dedicación. La vendimia se realiza de forma manual en las frescas mañanas, asegurando la máxima calidad de las uvas. La fermentación tiene lugar a una temperatura controlada de 16 grados Celsius en depósitos de acero inoxidable, lo que preserva los sabores y aromas característicos de la variedad Tempranillo Blanco. Posteriormente, el vino pasa por una crianza durante <strong>4 meses sobre lías</strong> finas, agregando complejidad y textura a la vez que realza sus cualidades.</p>
<p>Si tienes dudas a la hora de comprar el <strong>Vino Blanco Conde Valdemar Tempranillo Blanco</strong>, nuestro sumiller experto en nuestra tienda online está disponible para asesorarte sin compromiso. Podrá brindarte información detallada, resolver tus preguntas y ayudarte a encontrar el vino perfecto para ti.</p>",8.28,Tempranillo Blanco,"BODEGAS VALDEMAR, S.A.U",2022,D.O.C. Rioja,Sobre lías,4 meses,Vino Blanco
VT-CONDE-VALDEMAR-EDICION-LIMI,Vino Tinto Conde Valdemar Edición Limitada,"<p>El <strong>Vino Tinto Conde Valdemar Edición Limitada</strong> es una joya enológica producida por la reconocida <strong>Bodega Valdemar</strong>, una de las principales casas vinícolas de <strong>España</strong>, en la región de <strong>Rioja Alta</strong>.</p>
<p>La historia de <strong>Valdemar </strong>se remonta a finales del siglo XIX cuando <strong>Joaquín Martínez Bujanda </strong>fundó la bodega en la región de <strong>Rioja Alta</strong>, una de las zonas vinícolas más prestigiosas de <strong>España</strong>. <strong>Valdemar </strong>es una bodega familiar que ha sabido combinar tradición e innovación en la producción de vinos de alta calidad. Su compromiso con la excelencia y la búsqueda constante de la perfección ha llevado a la bodega a ser reconocida tanto a nivel nacional como internacional.</p>
<p>El <strong>Vino Tinto Conde Valdemar Edición Limitada</strong> es un vino que refleja la esencia de <strong>Valdemar</strong> y su pasión por la viticultura. Se elabora principalmente con las variedades <strong>Tempranillo, Graciano y Maturana</strong>, todas ellas uvas autóctonas de la región de <strong>Rioja</strong>. Estas variedades aportan al vino una complejidad y elegancia características.</p>
<p>El proceso de elaboración del <strong>Vino Tinto Conde Valdemar Edición Limitada</strong> es minucioso y cuidadoso. Después de una <strong>cuidadosa selección</strong> de las uvas, se realiza una <strong>fermentación controlada</strong> para extraer los aromas y sabores deseados. Posteriormente, el vino <strong>es envejecido durante 23 meses en barricas nuevas de roble francés Allier y americano de grano fino.</strong></p>
<p>La <strong>crianza en barricas de roble </strong>confiere al vino una estructura y equilibrio excepcionales, así como notas de especias, vainilla y tostado provenientes de la madera. Durante este periodo de crianza, el vino adquiere una gran complejidad y desarrolla su carácter distintivo.</p>
<p><span style=""font-weight: 400;"">Si tiene alguna duda a la hora de comprar <strong>Vino Tinto Conde Valdemar Edición Limitada</strong></span><span style=""font-weight: 400;"">, póngase en contacto con el sumiller de nuestra tienda online y le asesorará sin compromiso.</span></p>",31.5,Graciano|Maturana Tinta|Tempranillo,"BODEGAS VALDEMAR, S.A.U",2019,D.O.C. Rioja,Otros,23 meses,Vino Tinto
VT-LA-GARGANTILLA-GARNACHA,Vino Tinto La Gargantilla Garnacha,"<p>El <strong>Vino Tinto La Gargantilla Garnacha</strong> es una exquisita y distinguida creación de la <strong>Bodega Valdemar</strong> <strong>fundada en 1889 </strong>en <strong>Oyón</strong>, una pequeña localidad situada en la <strong>región vinícola de La Rioja, España.</strong></p>
<p><strong>El Vino Tinto La Gargantilla Garnacha</strong> destaca por su elegancia y carácter singular. La variedad de uva utilizada en su producción es la <strong>Garnacha</strong>, una cepa tinta muy apreciada y extendida en varias regiones vinícolas de <strong>España</strong>. La <strong>Garnacha</strong> es conocida por sus bayas pequeñas y dulces, que aportan una intensidad aromática y una notable concentración de sabores a los vinos.</p>
<p>El proceso de elaboración del <strong>Vino Tinto La Gargantilla Garnacha</strong> es meticuloso y riguroso. Después de la <strong>vendimia manual</strong>, las uvas seleccionadas se someten a <strong>una fermentación en depósitos de acero inoxidable a una temperatura controlada</strong>. Esta técnica permite preservar los aromas y los sabores frutales característicos de la <strong>Garnacha</strong>.</p>
<p>Una vez finalizada la fermentación, el vino pasa por un <strong>periodo de crianza de 14 meses en barricas nuevas de roble francés Allier</strong>. Estas barricas de alta calidad aportan complejidad y elegancia al vino, añadiendo sutiles notas de especias, vainilla y tostado. Durante la crianza, el vino se desarrolla y adquiere su carácter distintivo, integrando los taninos suaves y redondos con los sabores frutales y los matices aportados por el roble.</p>
<p>El <strong>Vino Tinto La Gargantilla Garnacha</strong> de la <strong>Bodega Valdemar</strong> es un vino de gran calidad y elegancia, elaborado con la variedad de uva <strong>Garnacha</strong> y criado durante <strong>14 meses en barricas nuevas de roble francés Allier</strong>. Su historia y tradición vitivinícola respaldan la excelencia de este vino, que deleita los sentidos con su carácter distintivo y su equilibrio excepcional.</p>
<p><span style=""font-weight: 400;"">Si tiene alguna duda a la hora de comprar el <strong>Vino Tinto La Gargantilla Garnacha</strong></span><span style=""font-weight: 400;"">, póngase en contacto con el sumiller de nuestra tienda online y le asesorará sin compromiso.</span></p>",30.6,Garnacha,"BODEGAS VALDEMAR, S.A.U",2019,D.O.C. Rioja,Otros,14 meses,Vino Tinto
