manufacturer,product name,precio iva incluido,stock,product url,category,product ID,aÃ±ada,formato,Tipo de Crianza,ean,meses en barrica,Proveedor,uvas,sku,Denominacion de Origen,tipo de vino,tipo de destilado,tipo de tequila,Estilo de cerveza,Tipo de cereal de la cerveza,Estilo de Ginebra,Familia de cerveza,Tipo de Whisky,Tipo de Champagne,Tipo de Gourmet,Medida,Volumen de medida,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
Gonzalez Byass,Vermouth La Copa Extra Seco Blanco,12.34,1,https://vinopremier.com/vermouth-la-copa-extra-seco.html,VermÃº o Vermouth,11140,Sin AÃ±ada,75.0,,8410023094566,,GonzÃ¡lez Byass DistribuciÃ³n S.L.,Palomino Fino,VERMOUTH-LA-COPA-EXTRA-SECO,,Vermut,,,,,,,,,,cl.,75,,,,,
Gonzalez Byass,Vino Blanco Beronia Fermentado en Barrica,17.67,1,https://vinopremier.com/vino-blanco-beronia-fermentado-en-barrica.html,Viura,11142,2014,75.0,Fermentado en Barrica,8410023015462,6 ,GonzÃ¡lez Byass DistribuciÃ³n S.L.,Viura,VB-BERONIA-FERMENTADO-EN-BARRICA,C. Rioja, Blanco,,,,,,,,,,cl.,75,,,,,
Gonzalez Byass,Vino Generoso Palo Cortado ApÃ³stoles 37.5cl,44.83,1,https://vinopremier.com/vino-generoso-palo-cortado-apostoles-375ml.html,Pedro XimÃ©nez,11178,Sin AÃ±ada,37.5,Criaderas y Soleras,8410023090445,,GonzÃ¡lez Byass DistribuciÃ³n S.L.,Palomino,Pedro XimÃ©nez,VGENEROSOAPOSTOLES375,D.O. Jerez-XÃ©rÃ¨s-Sherry,Vino Generoso,,,,,,,,,,cl.,37.5,,,,
Gonzalez Byass,Vino Generoso Pedro XimÃ©nez NoÃ© VORS 375ml,44.83,1,https://vinopremier.com/vino-generoso-pedro-ximenez-noe-375ml.html,D.O. Jerez-Xeres-Sherry y Manzanilla,11179,Sin AÃ±ada,37.5,Criaderas y Soleras,8410023090476,,GonzÃ¡lez Byass DistribuciÃ³n S.L.,Pedro XimÃ©nez,VG-NOE-37ML, Jerez-XÃ©rÃ¨s-Sherry, Generoso,,,,,,,,,,cl.,37.5,,,,,
Gonzalez Byass,Vino Generoso Matusalem VORS 375ml,44.83,1,https://vinopremier.com/vino-generoso-matusalem-375ml.html,D.O. Jerez-Xeres-Sherry y Manzanilla,11180,Sin AÃ±ada,37.5,Criaderas y Soleras,8410023223621,24 ,GonzÃ¡lez Byass DistribuciÃ³n S.L.,Palomino,Pedro XimÃ©nez,VG-MATUSALEM-375ML,D.O. Jerez-Xeres-Sherry y Manzan,Vino Generoso,,,,,,,,,,cl.,37.5,,,,
Gonzalez Byass,Vino Generoso Amontillado del Duque 375ml,44.83,1,https://vinopremier.com/vino-generoso-amontillado-del-duque-375ml.html,D.O. Jerez-Xeres-Sherry y Manzanilla,11181,Sin AÃ±ada,37.5,Criaderas y Soleras,8410023090469,,GonzÃ¡lez Byass DistribuciÃ³n S.L.,Palomino,VGAMONTILLADODELDUQE375, Jerez-Xeres-Sherry y Manzan, Generoso,,,,,,,,,,cl.,37.5,,,,,
Bodega Bach,Cava Bach ExtrÃ­simo Brut Nature,5.57,1,https://vinopremier.com/cava-bach-extrisimo-brut-nature.html,D.O. Cava,11183,sin AÃ±ada,75.0,Joven,8410013991042,,CODORNIU,Xarel-lo,CAVA-BACH-EXTRISIMO-BRUT-NAT, Cava,Espumoso,,,,,,,,,,cl.,75,,,,,
Gonzalez Byass,Vino Tinto Altozano Tempranillo,5.14,1,https://vinopremier.com/vino-tinto-altozano-tempranillo.html,IGP Vino de la Tierra de Castilla,11185,2022,75.0,Joven,8410023015912,3 ,GonzÃ¡lez Byass DistribuciÃ³n S.L.,Tempranillo,VT-ALTOZANO-TEMPRANILLO,IGP Vino de la Tierra de Castilla, Tinto,,,,,,,,,,cl.,75,,,,,
Gonzalez Byass,Vino Blanco Altozano,4.9,1,https://vinopremier.com/vino-blanco-altozano.html,Verdejo,11186,2020,75.0,,8410023019132,,GonzÃ¡lez Byass DistribuciÃ³n S.L.,Sauvignon Blanc,Verdejo,VB-ALTOZANO,IGP  de la Tierra de Castilla,Vino Blanco,,,,,,,,,,cl.,75,,,,
Gonzalez Byass,Vino Tinto Blecua Somontano Magnum,198.92,1,https://vinopremier.com/vino-tinto-blecua-somontano-magnum.html,D.O. Somontano,11198,2016,1.5,Crianza,8421293664007,20 ,GonzÃ¡lez Byass DistribuciÃ³n S.L.,AirÃ©n,AlbariÃ±o,VT-BLECUA-SOMONTANO-MAGNUM,D.O. Somontano,Vino Tinto,,,,,,,,,,L.,1.5,,,,
Gonzalez Byass,Vino Blanco Veramonte Chardonnay OrgÃ¡nico,10.83,1,https://vinopremier.com/vino-blanco-veramonte-chardonnay-organico.html,Chile,11200,2020,75.0,,7804620040353,8 ,GonzÃ¡lez Byass DistribuciÃ³n S.L.,Chardonnay,VB-VERAMONTE-CHARDONNAY-ORGANICO,Casablanca Valley - Chile, Blanco,,,,,,,,,,cl.,75,,,,,
Gonzalez Byass,Vino Tinto Ritual Pinot Noir,16.58,1,https://vinopremier.com/vino-tinto-ritual-pinot-noir.html,Pinot Noir,11201,2018,75.0,,7804620040230,11 ,GonzÃ¡lez Byass DistribuciÃ³n S.L.,AirÃ©n,AlbariÃ±o,Pinot Noir,VT-RITUAL-PINOT-NOIR,Casablanca Valley - Chile,Vino Tinto,,,,,,,,,,cl.,75,,,
Gonzalez Byass,Vino Blanco Ritual Sauvignon Blanc,16.58,1,https://vinopremier.com/vino-blanco-ritual-sauvignon-blanc.html,Sauvignon Blanc,11202,2019,75.0,,7804620040247,10 ,GonzÃ¡lez Byass DistribuciÃ³n S.L.,Sauvignon Blanc,VB-RITUAL-SAUVIGNON-BLANC,Casablanca Valley - Chile, Blanco,,,,,,,,,,cl.,75,,,,,
Gonzalez Byass,Vino Tinto Primus The Blend,18.39,1,https://vinopremier.com/vino-tinto-primus-the-blend.html,Chile,11204,2018,75.0,,7804620040308,12 ,GonzÃ¡lez Byass DistribuciÃ³n S.L.,Cabernet Franc,Cabernet Sauvignon,Carmenere,Merlot,Petit Verdot,VT-PRIMUS-THE-BLEND,Colchagua Valley - Chile,Vino Tinto,,,,,,,,,,cl.,75,
Gonzalez Byass,Vino Tinto Veramonte Pinot Noir OrgÃ¡nico,10.83,1,https://vinopremier.com/vino-tinto-veramonte-pinot-noir-organico.html,Chile,11205,2020,75.0,,7804620040360,10 ,GonzÃ¡lez Byass DistribuciÃ³n S.L.,Pinot Noir,VT-VERAMONTE-PINOT-NOIR-ORGANICO,Casablanca Valley - Chile, Tinto,,,,,,,,,,cl.,75,,,,,
Gonzalez Byass,Vino Blanco Veramonte Sauvignon Blanc OrgÃ¡nico,10.83,1,https://vinopremier.com/vino-blanco-veramonte-sauvignon-blanc-organico.html,Chile,11208,2021,75.0,,7804620040049,,GonzÃ¡lez Byass DistribuciÃ³n S.L.,Sauvignon Blanc,VB-VERAMONTE-SAUVIGNON-BLANC-ORGANICO,Casablanca Valley - Chile, Blanco,,,,,,,,,,cl.,75,,,,,
Gonzalez Byass,Vino Tinto Neyen The Blend OrgÃ¡nico,75.44,1,https://vinopremier.com/vino-tinto-neyen-the-blend-organico.html,Chile,11220,2013,75.0,,7804619040074,18 ,GonzÃ¡lez Byass DistribuciÃ³n S.L.,Carmenere,VT-NEYEN-THE-BLEND-ORGANICO,Colchagua Valley - Chile, Tinto,,,,,,,,,,cl.,75,,,,,
Bodegas Familiares Matarromera,Vino Tinto WIN-E Tempranillo Sin Alcohol,9.08,1,https://vinopremier.com/vino-tinto-win-e-tempranillo.html,EspaÃ±a,11233,Sin AÃ±ada,75.0,,8436532093487,,BODEGA MATARROMERA S.L.,Tempranillo,VT-WIN-E-TEMPRANILLO,, Sin Alcohol,,,,,,,,,,cl.,75,,,,,
Lar de Paula,Vino Tinto Lar de Paula Graciano EdiciÃ³n Limitada,55.9,1,https://vinopremier.com/vino-tinto-lar-de-paula-graciano-edicion-limitada.html,Graciano,11254,2016,75.0,,8420842006848,,"BODEGAS HEREDAD DE BAROJA, S.L.",Graciano,VT-LAR-DE-PAULA-GRACIANO-EDICION-LIMITADA,C. Rioja, Tinto,,,,,,,,,,cl.,75,,,,,
Fincas de Azabache,Vino Blanco Azabache Semidulce,5.45,1,https://vinopremier.com/vino-blanco-azabache-semidulce.html,D.O. ca. Rioja,11257,2022,75.0,,8423513000367,,VIÃ‘EDOS DE ALDEANUEVA S.COOPERATIVA,Viura,VB-AZABACHE-SEMIDULCE,C. Rioja, Blanco,,,,,,,,,,cl.,75,,,,,
Bodegas Enrique Mendoza,Vino Tinto Enrique Mendoza Las Quebradas,33.52,1,https://vinopremier.com/vino-tinto-enrique-mendoza-las-quebradas.html,Monastrell,11259,2018,75.0,,8424671001289,15 ,D.E.R. NAVARRO S.A.,Monastrell,VT-ENRIQUE-MENDOZA-LAS-QUEBRADAS, Alicante, Tinto,,,,,,,,,,cl.,75,,,,,
Casas Del Bosque,Vino Blanco Casas del Bosque Chardonnay,26.38,1,https://vinopremier.com/vino-blanco-casas-del-bosque-chardonnay.html,Chardonnay,11290,2021,75.0,Reserva,7809531600030,6 ,TERRA AUSTRALIS IMPORT EXPORT S.L.,Chardonnay,VB-CASAS-DEL-BOSQUE-CHARDONNAY,Casablanca Valley - Chile, Blanco,,,,,,,,,,cl.,75,,,,,
,Vino Tinto Peique ViÃ±edos Viejos,19.42,1,https://vinopremier.com/vino-tinto-peique-vinedos-viejos.html,D.O. Bierzo,11297,2020,75.0,Crianza,8437002469016,12 ,D.E.R. NAVARRO S.A.,MencÃ­a,VT-PEIQUE-VINEDOS-VIEJOS, Bierzo, Tinto,,,,,,,,,,cl.,75,,,,,
,Vino Tinto Peique Garnacha Tintorera,45.8,1,https://vinopremier.com/vino-tinto-peique-garnacha-tintorera.html,D.O. Bierzo,11302,2011,75.0,,8437002469092,20 ,D.E.R. NAVARRO S.A.,Garnacha Tintorera,VT-PEIQUE-GARNACHA-TINTORERA, Bierzo, Tinto,,,,,,,,,,cl.,75,,,,,
Bodegas Caserio de Duenas,Vino Blanco CaserÃ­o De DueÃ±as Fincas,10.29,1,https://vinopremier.com/vino-blanco-caserio-de-due-as-fincas.html,D.O. Rueda,11311,2020,75.0,,8410849004350,,ENTRECANALES DOMECQ E HIJOS S.A.,Chardonnay,Sauvignon Blanc,Verdejo,CASERIO-DE-DUENAS-VERDEJO-FINCAS,D.O. Rueda,Vino Blanco,,,,,,,,,,cl.,75,,,
Bodega Itsasmendi,Vino Tinto Txakoli Itsasmendi Eklipse,27.95,1,https://vinopremier.com/vino-tinto-txakoli-itsasmendi-eklipse.html,D.O. Bizkaiko Txakolina,11313,2017,75.0,Roble,No Disponible,10 ,D.E.R. NAVARRO S.A.,Pinot Noir,VT-ITSASMENDI-EKLIPSE, Bizkaiko Txakolina, Tinto,,,,,,,,,,cl.,75,,,,,
Bodega Itsasmendi,Vino Blanco Txakoli Itsasmendi,13.92,1,https://vinopremier.com/vino-blanco-itsasmendi.html,D.O. Bizkaiko Txakolina,11317,2021,75.0,Joven,8437001807017,Sin paso por barrica,DISTRIBUIDORA PRIMERAS MARCAS,Hondarribi Zuri,VB-ITSASMENDI, Bizkaiko Txakolina, Blanco,,,,,,,,,,cl.,75,,,,,
Concha y Toro,Vino Tinto Casillero Del Diablo Reserva Especial,27.35,1,https://vinopremier.com/vino-tinto-casillero-del-diablo-reserva-especial.html,Chile,11320,2019,75.0,Reserva,7804320746685,,TERRA AUSTRALIS IMPORT EXPORT S.L.,Cabernet Sauvignon,VT-CASILLERO-DEL-DIABLO-RESERVA-ESPECIAL,Valle del Maule - Chile, Tinto,,,,,,,,,,cl.,75,,,,,
Bodega Itsasmendi,Vino Blanco Dulce Itsasmendi Urezti Txakoli,21.9,1,https://vinopremier.com/vino-blanco-dulce-itsasmendi-urezti.html,D.O. Bizkaiko Txakolina,11324,2016,75.0,Roble,8437001807048,3 ,D.E.R. NAVARRO S.A.,Hondarribi Zuri,VD-ITSASMENDI-UREZTI, Bizkaiko Txakolina, Dulce,,,,,,,,,,cl.,75,,,,,
Bodegas Palacio,Vino Blanco Milflores,5.99,1,https://vinopremier.com/vino-blanco-milflores.html,Viura,11328,2021,75.0,,8410351216005,,ENTRECANALES DOMECQ E HIJOS S.A.,Viura,VB-MILFLORES,C. Rioja, Blanco,,,,,,,,,,cl.,75,,,,,
Bodegas Palacio,Vino Tinto Cosme Palacio Tinto 1894,60.5,1,https://vinopremier.com/vino-tinto-cosme-palacio-1894.html,Tempranillo,11331,2016,75.0,,8410351118019,,ENTRECANALES DOMECQ E HIJOS S.A.,Tempranillo,VT-COSME-PALACIO-1894,C. Rioja, Tinto,,,,,,,,,,cl.,75,,,,,
Pagos del Moncayo,Vino Tinto Prados FusiÃ³n MÃ¡gnum,22.39,1,https://vinopremier.com/vino-tinto-prados-fusion-magnum.html,EspaÃ±a,11332,2020,1.5,Joven,8437014589207,Sin paso por barrica,Axial Globalizacion de Vinos S.L.,Syrah,VTPRADOSFUSIONMAGNUM, Campo de Borja, Tinto,,,,,,,,,,L.,1.5,,,,,
La Poda,Vino Blanco La Poda Verdejo,13.67,1,https://vinopremier.com/vino-blanco-la-poda-verdejo.html,D.O. Rueda,11335,2021,75.0,,8410849001472,,ENTRECANALES DOMECQ E HIJOS S.A.,Verdejo,VB-LA-PODA-VERDEJO, Rueda, Blanco,,,,,,,,,,cl.,75,,,,,
La Poda,Vino Tinto La Poda TempranilloÂ ,13.67,1,https://vinopremier.com/vino-tinto-la-poda-tempranillo.html,Tempranillo,11337,2020,75.0,,8410849001076,,ENTRECANALES DOMECQ E HIJOS S.A.,Tempranillo,VT-LA-PODA-TEMPRANILLO, Ribera del Duero, Tinto,,,,,,,,,,cl.,75,,,,,
La Poda,Vino Tinto La Poda Mencia,13.67,1,https://vinopremier.com/vino-tinto-la-poda-mencia.html,D.O. Valdeorras,11340,2020,75.0,,8410849001526,,ENTRECANALES DOMECQ E HIJOS S.A.,MencÃ­a,LA-PODA-MENCIA, Valdeorras, Tinto,,,,,,,,,,cl.,75,,,,,
Bodem Bodegas,Vino Blanco Las Margas Garnacha Blanca Vegano,13.19,1,https://vinopremier.com/vino-blanco-las-margas-garnacha-blanca-vegano.html,Vino Blanco,11395,2021,75.0,Roble,8431074589528,4 ,,Garnacha Blanca,VB-LAS-MARGAS,P. CariÃ±ena, Blanco,,,,,,,,,,cl.,75,,,,,
Bodegas PeÃ±ascal,Vermut Rojo SansÃ³n,7.2,1,https://vinopremier.com/vermut-rojo-sanson.html,VermÃº o Vermouth,11400,,75.0,,8410849000895,,ENTRECANALES DOMECQ E HIJOS S.A.,,VERMUT-ROJO-SANSON,,Vermut,,,,,,,,,,cl.,75,,,,,
Bodegas Habla,Vino Tinto Habla NÂº21,39.39,1,https://vinopremier.com/vino-tinto-habla-n21.html,V.T. Extremadura,11424,2016,75.0,Crianza,8437006033077,12 ,D.E.R. NAVARRO S.A.,Malbec,Petit Verdot,VT-HABLA-N21,V.T. Extremadura,Vino Tinto,,,,,,,,,,cl.,75,,,,
,Vino Tinto Casa de la Ermita Crianza,14.22,1,https://vinopremier.com/vino-tinto-casa-de-la-ermita-crianza.html,EspaÃ±a,11431,2019,75.0,Crianza,8435053399092,9 ,D.E.R. NAVARRO S.A.,Monastrell,VT-CASA-DE-LA-ERMITA-CRIANZA, Jumilla, Tinto,,,,,,,,,,cl.,75,,,,,
,Vino Tinto Casa de la Ermita Petit Verdot,25.1,1,https://vinopremier.com/vino-tinto-casa-de-la-ermita-petit-verdot.html,EspaÃ±a,11435,2018,75.0,Crianza,8435053321093,12 ,D.E.R. NAVARRO S.A.,Petit Verdot,VT-CASA-DE-LA-ERMITA-PETIT-VERDOT, Jumilla, Tinto,,,,,,,,,,cl.,75,,,,,
Bodega El VÃ­nculo,Vino Tinto El Vinculo Reserva,21.96,1,https://vinopremier.com/vino-tinto-el-vinculo-reserva.html,Variedades de uva,11440,2017,75.0,Reserva,8423339012902,24 ,Aseuniv S.L.,Tempranillo,VT-EL-VINCULO-RESERVA, La Mancha, Tinto,,,,,,,,,,cl.,75,,,,,
,Vino Tinto LunÃ¡tico,12.77,1,https://vinopremier.com/vino-tinto-lunatico.html,EspaÃ±a,11441,2020,75.0,Crianza,8435053347123,12 ,D.E.R. NAVARRO S.A.,Monastrell,VT-LUNATICO, Jumilla, Tinto,,,,,,,,,,cl.,75,,,,,
,Vino Blanco Casa de la Ermita,7.26,1,https://vinopremier.com/vino-blanco-casa-de-la-ermita.html,EspaÃ±a,11443,2022,75.0,Joven,8435053330132,Sin paso por barrica,D.E.R. NAVARRO S.A.,Viognier,VB-CASA-DE-LA-ERMITA, Jumilla, Blanco,,,,,,,,,,cl.,75,,,,,
,Vino Blanco LunÃ¡tico,13.73,1,https://vinopremier.com/vino-blanco-lunatico.html,EspaÃ±a,11446,2019,75.0,,8435053388188,3 ,D.E.R. NAVARRO S.A.,Viognier,VB-LUNATICO, Jumilla, Blanco,,,,,,,,,,cl.,75,,,,,
,Vino Tinto Dulce Casa de la Ermita Monastrell,13.31,1,https://vinopremier.com/vino-tinto-dulce-casa-de-la-ermita-monastrell.html,Vino Tinto,11450,,75.0,Roble,8435053320119,3 ,D.E.R. NAVARRO S.A.,Monastrell,VD-CASA-DE-LA-ERMITA-MONASTRELL, Jumilla, Dulce,,,,,,,,,,cl.,75,,,,,
,Vino Tinto Trispol EcolÃ³gico Vegano,26.5,1,https://vinopremier.com/vino-tinto-trispol-ecologico-vegano.html,Vinos EcolÃ³gicos y Veganos,11453,2016,75.0,,8414606416042,12 ,D.E.R. NAVARRO S.A.,Callet,VT-TRISPOL-ECOLOGICO-VEGANO,V.T. Mallorca, Tinto,,,,,,,,,,cl.,75,,,,,
,Vino Tinto SincronÃ­a Negre EcolÃ³gico Vegano,14.4,1,https://vinopremier.com/vino-tinto-sincronia-negre-ecologico-vegano.html,Vinos EcolÃ³gicos y Veganos,11454,2021,75.0,,8414606416028,6 ,D.E.R. NAVARRO S.A.,Callet,VT-SINCRONIA-NEGRE-ECOLOGICO-VEGANO,V.T. Mallorca, Tinto,,,,,,,,,,cl.,75,,,,,
Domaines Barons de Rothschild (LAFITTE),Vino Tinto Chateau DAussiÃ¨res,32.67,1,https://vinopremier.com/vino-tinto-chateau-d-aussieres.html,Francia,11461,2016,75.0,,3760131251616,,ENTRECANALES DOMECQ E HIJOS S.A.,Grenache,Monastrell,Syrah,VT-CHATEAU-DAUSSIERES,CorbiÃ¨res,Vino Tinto,,,,,,,,,,cl.,75,,,
Bodegas Canopy,Vino Tinto EstÃ©reo,37.99,1,https://vinopremier.com/vino-tinto-estereo.html,EspaÃ±a,11466,2016,75.0,,,12 ,D.E.R. NAVARRO S.A.,SausÃ³n,VT-ESTEREO,, Tinto,,,,,,,,,,cl.,75,,,,,
,Vino Tinto AucalÃ¡ Garnacha Tinta,12.58,1,https://vinopremier.com/vino-tinto-aucala-garnacha-tinta.html,EspaÃ±a,11468,2018,75.0,Roble,8437015563640,5 ,D.E.R. NAVARRO S.A.,Garnacha,VT-AUCALA-GARNACHA-TINTA, Terra Alta, Tinto,,,,,,,,,,cl.,75,,,,,
,Vino Blanco AucalÃ¡ Garnacha Blanca,12.58,1,https://vinopremier.com/vino-blanco-aucala-garnacha-blanca.html,EspaÃ±a,11470,2021,75.0,,8437015563749,Sin paso por barrica,D.E.R. NAVARRO S.A.,Garnacha Blanca,VB-AUCALA-GARNACHA-BLANCA, Terra Alta, Blanco,,,,,,,,,,cl.,75,,,,,
PURE The Winery,Vino Rosado PURE The WineryÂ ,15.13,1,https://vinopremier.com/vino-rosado-pure-the-winery.html,Pinot Noir,11474,,75.0,,8033267626005,,The Pure Winery (Europe) Limited,Chardonnay,Pinot Noir,VR-PURE-THE-WINERY,Provence,Vino Rosado,,,,,,,,,,cl.,75,,,,
,Vino Blanco Can Sumoi Perfum EcolÃ³gico,14.94,1,https://vinopremier.com/vino-blanco-can-sumoi-perfum-ecologico.html,Vinos EcolÃ³gicos y Veganos,11481,2021,75.0,Joven,8421478601452,Sin paso por barrica,D.E.R. NAVARRO S.A.,MalvasÃ­a,VB-CAN-SUMOI-PERFUM-ECOLOGICO, Penedes, Blanco,,,,,,,,,,cl.,75,,,,,
,Vino Blanco Can Sumoi XarelÂ·lo EcolÃ³gico,17.06,1,https://vinopremier.com/vino-blanco-can-sumoi-xarel-lo-ecologico.html,Vinos EcolÃ³gicos y Veganos,11482,2022,75.0,Joven,8421478600257,Sin paso por barrica,D.E.R. NAVARRO S.A.,Xarel-lo,VB-CAN-SUMOI-XAREL.LO, Penedes, Blanco,,,,,,,,,,cl.,75,,,,,
,Vino Tinto Dulce Nus,32.07,1,https://vinopremier.com/vino-tinto-dulce-nus.html,Vino Tinto,11491,2015,75.0,,8437001778379,18 ,D.E.R. NAVARRO S.A.,Viognier,VD-NUS,Q. Priorat, Dulce,,,,,,,,,,cl.,75,,,,,
Attis Bodegas y ViÃ±edos,Vino Blanco Genio y Figura,17.3,1,https://vinopremier.com/vino-blanco-genio-y-figura.html,EspaÃ±a,11494,2022,75.0,Joven,8437008318608,Sin paso por barrica,D.E.R. NAVARRO S.A.,AlbariÃ±o,VB-GENIO-Y-FIGURA, Rias Baixas, Blanco,,,,,,,,,,cl.,75,,,,,
Attis Bodegas y ViÃ±edos,Vino Dulce Sitta Dulce Nana,64.07,1,https://vinopremier.com/vino-dulce-sitta-dulce-nana.html,EspaÃ±a,11508,2020,75.0,Joven,,Sin paso por barrica,D.E.R. NAVARRO S.A.,AlbariÃ±o,VD-SITTA-DULCE-NANA,, Dulce,,,,,,,,,,cl.,75,,,,,
Attis Bodegas y ViÃ±edos,Vino Tinto XiÃ³n CuvÃ©e,17.97,1,https://vinopremier.com/vino-tinto-xion-cuvee.html,EspaÃ±a,11510,2016,75.0,Fermentado en Barrica,8437008318448,12 ,D.E.R. NAVARRO S.A.,SausÃ³n,VT-XION-CUVEE, Rias Baixas, Tinto,,,,,,,,,,cl.,75,,,,,
Attis Bodegas y ViÃ±edos,Vino Tinto Attis CaÃ­Ã±o Tinto,37.15,1,https://vinopremier.com/vino-tinto-attis-caino-tinto.html,EspaÃ±a,11513,2016,75.0,Fermentado en Barrica,8437008318417,12 ,D.E.R. NAVARRO S.A.,CaiÃ±o Tinto,VT-ATTIS-CAINO-TINTO, Rias Baixas, Tinto,,,,,,,,,,cl.,75,,,,,
Attis Bodegas y ViÃ±edos,Vino Tinto Attis Espadeiro,37.15,1,https://vinopremier.com/vino-tinto-attis-espadeiro.html,EspaÃ±a,11514,2016,75.0,Fermentado en Barrica,8437008318431,12 ,D.E.R. NAVARRO S.A.,Espadeiro,VT-ATTIS-ESPADEIRO, Rias Baixas, Tinto,,,,,,,,,,cl.,75,,,,,
Bodega Pazo de SeÃ±orans,Vino Blanco Pazo SeÃ±orans ColecciÃ³n,25.53,1,https://vinopremier.com/vino-blanco-pazo-senorans-coleccion.html,EspaÃ±a,11520,2019,75.0,Joven,8437003160271,Sin paso por barrica,D.E.R. NAVARRO S.A.,AlbariÃ±o,VB-PAZO-SENORANS-COLECCION, Rias Baixas, Blanco,,,,,,,,,,cl.,75,,,,,
Bodega Cepa 21,Vino Tinto Hito MÃ¡gnum,30.67,1,https://vinopremier.com/vino-tinto-hito-magnum.html,EspaÃ±a,11530,2020,1.5,Roble,8437005548589,8 ,D.E.R. NAVARRO S.A.,Tempranillo,VT-HITO-MAGNUM, Ribera del Duero, Tinto,,,,,,,,,,L.,1.5,,,,,
Vining,Vino Tinto Barolo Cannubi,193.6,1,https://vinopremier.com/vino-tinto-barolo-cannubi.html,Italia,11536,2017,75.0,,8003807002842,,Aseuniv S.L.,Nebbiolo,VT-BAROLO-CANNUBI,Barolo - Italia, Tinto,,,,,,,,,,cl.,75,,,,,
Emilio Moro,Vino Tinto La Felisa EcolÃ³gico,35.33,1,https://vinopremier.com/vino-tinto-la-felisa-ecologico.html,Vinos EcolÃ³gicos y Veganos,11544,2021,75.0,,8436557311009,12 ,D.E.R. NAVARRO S.A.,Tempranillo,VT-LA-FELISA-ECOLOGICO, Ribera del Duero, Tinto,,,,,,,,,,cl.,75,,,,,
,Vino Tinto La Galga MÃ¡gnum,19.42,1,https://vinopremier.com/vino-tinto-la-galga-magnum.html,Tinta del PaÃ­s,11553,2018,1.5,Roble,8437016318041,4 ,D.E.R. NAVARRO S.A.,Tinta del PaÃ­s,VT-LA-GALGA-MAGNUM, Ribera del Duero, Tinto,,,,,,,,,,L.,1.5,,,,,
Gramona,Vino Rosado Gramona Mart,15.55,1,https://vinopremier.com/vino-rosado-gramona-mart.html,Vino Rosado,11573,2020,75.0,,8424918085324,,Aseuniv S.L.,Xarel-lo,VR-GRAMONA-MART-ROSADO,, Rosado,,,,,,,,,,cl.,75,,,,,
Gramona,Vino Blanco Gramona PinoteamoÂ ,22.57,1,https://vinopremier.com/vino-blanco-gramona-pinoteamo.html,EspaÃ±a,11575,2016,75.0,,8424918980445,,Aseuniv S.L.,Pinot Blanc,VB-GRAMONA-PINOTEAMO,, Blanco,,,,,,,,,,cl.,75,,,,,
Bodegas y ViÃ±edos Artadi,Vino Tinto Artadi ViÃ±as De Gain Tinto,31.16,1,https://vinopremier.com/vino-tinto-artadi-vi-as-de-gain-tinto.html,D.O. ca. Rioja,11578,2020,75.0,,8411976101202,12 ,Aseuniv S.L.,Tempranillo,VT-ARTADI-VINAS-DE-GAIN-TINTO,C. Rioja, Tinto,,,,,,,,,,cl.,75,,,,,
Gramona,Vino Blanco Gramona La Maca Macabeo,19.12,1,https://vinopremier.com/vino-blanco-gramona-la-maca-macabeo.html,Vino Blanco,11579,2017,75.0,Joven,8424918980452,Sin paso por barrica,Aseuniv S.L.,Macabeo,VB-GRAMONA-LAMACA-MACABEO,, Blanco,,,,,,,,,,cl.,75,,,,,
Luis Caballero,Vino Generoso Lustau Vors Pedro XimÃ©nez 30 Years Old,59.77,1,https://vinopremier.com/vino-generoso-lustau-vors-pedro-ximenez-30-years-old.html,Vino Dulce / Generoso,11582,Sin AÃ±ada,75.0,,8412325002850,,LUIS CABALLERO COMERCIAL Y DISTRIBUCIÃ“N S.A.,Pedro XimÃ©nez,VG-LUSTAU-VORS-PEDRO-XIEMNEZ-30-YEARS, Jerez-XÃ©rÃ¨s-Sherry, Generoso,,,,,,,,,,cl.,75,,,,,
Bodegas y ViÃ±edos Artadi,Vino Tinto Artadi TradiciÃ³n,15.49,1,https://vinopremier.com/vino-tinto-artadi-tradicion.html,Denominaciones,11583,2021,75.0,,8411976100212,,Aseuniv S.L.,Viura,VT-ARTADI-TRADICION,, Tinto,,,,,,,,,,cl.,75,,,,,
Gramona,Vino Blanco Gramona Xarel.lo Font Jui,22.45,1,https://vinopremier.com/vino-blanco-gramona-xarel-lo-font-jui.html,Vino Blanco,11584,2017,75.0,,8424918988038,,Aseuniv S.L.,Xarel-lo,VB-GRAMONA-XAREL.LO-FONT-JUI,, Blanco,,,,,,,,,,cl.,75,,,,,
Hacienda Monasterio,Vino Tinto Hacienda Monasterio Cosecha,52.15,1,https://vinopremier.com/vino-tinto-hacienda-monasterio-cosecha.html,EspaÃ±a,11593,2021,75.0,,8436000840018,17 ,Aseuniv S.L.,Cabernet Sauvignon,Merlot,Tinto Fino,VT-HACIENDA-MONASTERIO-COSECHA,D.O. Ribera del Duero,Vino Tinto,,,,,,,,,,cl.,75,,,
